Timestamp,FPS,Inference Time (ms)
2025/5/7 13:37,9.24,41.66
2025/5/7 13:37,9.24,49.88
2025/5/7 13:37,9.25,42.01
2025/5/7 13:37,9.26,40.73
2025/5/7 13:37,9.26,42.32
2025/5/7 13:37,9.26,45.5
2025/5/7 13:37,9.26,41.72
2025/5/7 13:37,9.26,43.94
2025/5/7 13:37,9.26,46.07
2025/5/7 13:37,9.27,41.76
2025/5/7 13:37,9.27,49.59
2025/5/7 13:37,9.28,41.07
2025/5/7 13:37,9.28,42.44
2025/5/7 13:37,9.29,40.2
2025/5/7 13:37,9.3,42.63
2025/5/7 13:37,9.3,50.39
2025/5/7 13:37,9.3,48.6
2025/5/7 13:37,9.31,48.11
2025/5/7 13:37,9.31,44.85
2025/5/7 13:37,9.31,47.58
2025/5/7 13:37,9.31,49.23
2025/5/7 13:37,9.32,49.76
2025/5/7 13:37,9.32,48.59
2025/5/7 13:37,9.33,38.58
2025/5/7 13:37,9.34,42.77
2025/5/7 13:37,9.34,45
2025/5/7 13:37,9.34,46.2
2025/5/7 13:37,9.34,42.84
2025/5/7 13:37,9.35,41.11
2025/5/7 13:37,9.36,41.91
2025/5/7 13:37,9.36,42.79
2025/5/7 13:37,9.37,48.22
2025/5/7 13:37,9.37,44.76
2025/5/7 13:37,9.38,47.82
2025/5/7 13:37,9.38,42.34
2025/5/7 13:37,9.39,38.1
2025/5/7 13:37,9.39,47.8
2025/5/7 13:37,9.4,38.22
2025/5/7 13:37,9.41,39.74
2025/5/7 13:37,9.42,36.92
2025/5/7 13:37,9.43,41.87
2025/5/7 13:37,9.44,39.71
2025/5/7 13:37,9.44,42.26
2025/5/7 13:37,9.45,40.09
2025/5/7 13:37,9.46,39.71
2025/5/7 13:37,9.46,38.76
2025/5/7 13:37,9.46,42.35
2025/5/7 13:37,9.47,38.21
2025/5/7 13:37,9.48,38.53
2025/5/7 13:37,9.48,49.55
2025/5/7 13:37,9.49,46.03
2025/5/7 13:37,9.49,44.15
2025/5/7 13:37,9.49,45.57
2025/5/7 13:37,9.5,41.36
2025/5/7 13:37,9.51,46.86
2025/5/7 13:37,9.52,43.64
2025/5/7 13:37,9.52,40.4
2025/5/7 13:37,9.52,52.15
2025/5/7 13:37,9.53,44.03
2025/5/7 13:37,9.53,53.48
2025/5/7 13:37,9.53,55.07
2025/5/7 13:37,9.53,47.23
2025/5/7 13:37,9.54,39.51
2025/5/7 13:37,9.54,42.55
2025/5/7 13:37,9.55,42.84
2025/5/7 13:37,9.55,46.08
